"Technology by State",,,,,,,,,,,,
,,,"Sustained Download Speed",,,,,"Percentage of advertised",,,,
,,"Average Tier Speed",Average,"Unweighted Valid N","95% Confidence Interval","Standard Error of Mean","Standard deviation",Average,"Unweighted Valid N","95% Confidence Interval","Standard Error of Mean","Standard deviation"
IA,Cable,121.8886560718663,149.1918877193746,88,"112.5 - 185.8",18.701746654756263,175.43793449138778,1.2607868414059564,88,"123% - 129%",0.014798892009844283,0.1388259126217973
,DSL,23.405017060499443,23.34537903856773,35,"16.3 - 30.4",3.5815122712271243,21.18851234072998,0.9933190829828251,35,"95% - 104%",0.02360395399918741,0.13964287505580597
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
IL,Cable,125.3892868867311,146.0576631232305,33,"96.6 - 195.5",25.222353387473042,144.89138912745955,1.1648256813704456,33,"111% - 122%",0.027744013450037158,0.15937722333013213
,DSL,13.139086174038091,13.324332993421136,11,"11 - 15.6",1.161117116889545,3.850989814381854,1.0096551488705099,11,"92% - 110%",0.043610251046062753,0.14463883973299424
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
IN,Cable,153.18052558887402,181.5852996095614,14,"80.8 - 282.4",51.43914684718593,192.46766377012273,1.1740389753008904,14,"113% - 122%",0.024158677015316862,0.09039349230904617
,DSL,13.677100718629436,12.841219578369255,24,"9.3 - 16.4",1.8188906779769038,8.910708117896732,0.9154615698798758,24,"84% - 99%",0.036731487251983906,0.17994680252181128
,Fiber,499.99999999999994,424.1040513397683,2,"423.1 - 425.1",0.5333827683397772,0.7543171449222196,0.8482081026795366,2,"85% - 85%",0.0010667655366795592,0.001508634289844446
,Satellite,--,--,--,--,--,--,--,--,--,--,--
KS,Cable,180.1831156714007,152.2662373217654,12,"101 - 203.5",26.151568160297536,90.59168950247177,0.9868248417803497,12,"85% - 112%",0.06991515228498635,0.24219319195302327
,DSL,11.281078473146929,11.093384103151934,5,"2.8 - 19.4",4.237775950874343,9.475955099568841,0.9407168268885475,5,"75% - 113%",0.09859341154048576,0.22046157033813843
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
MI,Cable,135.53285989449668,155.4828855438056,16,"93 - 218",31.885566482919902,127.54226593167961,1.138451783962096,16,"111% - 116%",0.01312156023702087,0.05248624094808348
,DSL,14.729237916635679,13.231816770857899,13,"6.9 - 19.5",3.2064770656366357,11.561117473752201,0.978415086552108,13,"85% - 111%",0.06794562661558368,0.24498144070601768
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
MN,Cable,159.65869027079486,183.28834788652577,17,"109.7 - 256.9",37.56783298463609,154.89614352121777,1.1536325772391096,17,"111% - 120%",0.024583885534578336,0.10136195674716057
,DSL,28.995201597703417,28.282568015145685,51,"20.2 - 36.3",4.111871151222792,29.364633533847666,0.964886573335865,51,"92% - 101%",0.020706040812285505,0.14787070849942419
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
MO,Cable,170.98967660927482,183.94799301549853,29,"122.5 - 245.4",31.335976916781952,168.74940008943335,1.0891589798790495,29,"101% - 117%",0.03901908037271196,0.21012417842988113
,DSL,15.530107971563188,14.749118846360961,39,"9.6 - 19.9",2.6109656792575286,16.30547544085018,0.9397435483255876,39,"90% - 98%",0.018703869978570764,0.11680563057847831
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
ND,Cable,--,--,--,--,--,--,--,--,--,--,--
,DSL,--,--,--,--,--,--,--,--,--,--,--
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
NE,Cable,179.50319343557607,188.10285313455992,7,"65.8 - 310.4",62.37987358678915,165.04163232629082,1.073075185617746,7,"98% - 116%",0.0463222037716647,0.12255703136028301
,DSL,20.717734733141278,19.761976174068348,11,"6.4 - 33.1",6.821504200989367,22.62436994051484,0.9517955136746119,11,"82% - 108%",0.0658038252547206,0.21824659814002106
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
OH,Cable,237.76837498224538,264.56929320883023,35,"216.1 - 313",24.712497008916987,146.20110394436352,1.1005008578273774,35,"106% - 114%",0.02261471301848942,0.13379044648928495
,DSL,21.283451224004516,19.83654153423649,98,"16 - 23.6",1.9434411018365305,19.23908534723373,0.9306190622159412,98,"90% - 97%",0.01769468302071701,0.17516842496853646
,Fiber,448.47826906638363,397.27704721453966,151,"380.2 - 414.4",8.722153453801882,107.17961602665818,0.9058927283238899,151,"88% - 94%",0.015585306027473121,0.19151544679077062
,Satellite,--,--,--,--,--,--,--,--,--,--,--
SD,Cable,--,--,--,--,--,--,--,--,--,--,--
,DSL,1.5,1.2097616,1,,0,0,0.8065077333333334,1,,0,0
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
WI,Cable,172.95545539510113,183.5097312870331,11,"111.2 - 255.8",36.88291975693999,122.32680600655614,1.0714697374059892,11,"98% - 116%",0.04495549826215396,0.14910051999903892
,DSL,22.754427126182502,21.65438903936888,44,"13.1 - 30.2",4.368569907057566,28.977814504295416,0.9485027235453873,44,"91% - 99%",0.02177397146751034,0.14443218710727188
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
"West States",Cable,159.09678546307364,178.61786932765227,267,"165.2 - 192",6.832744480928429,111.64796476793771,1.1292582931353403,267,"112% - 114%",0.005428398222471692,0.08870075782586602
,DSL,25.067221809813677,24.25372933301022,284,"20.5 - 28",1.9233060070094283,32.412128949422446,0.9574036027036061,284,"94% - 98%",0.009443658250750012,0.15914735765502452
,Fiber,270.4249016698616,268.9677369524389,50,"211.9 - 326.1",29.13542734763928,206.0185825028372,1.0025546390790128,50,"99% - 102%",0.007375430871264439,0.052152171832436915
,Satellite,--,--,--,--,--,--,--,--,--,--,--
AZ,Cable,144.8459432093805,159.4603200682027,47,"125.1 - 193.9",17.552442722907852,120.33348470157904,1.1165467847530532,47,"109% - 115%",0.014558819738247913,0.09981023951492883
,DSL,30.422851936869623,29.467478857844224,53,"20.2 - 38.7",4.721367188304401,34.372071958499426,0.9827308882193057,53,"94% - 102%",0.019456576605717937,0.14164601575883112
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
CA,Cable,170.6728270893679,192.55502873239917,163,"174.7 - 210.4",9.0958038315053,116.12744945369255,1.1343301309335545,163,"112% - 115%",0.007053519214331423,0.09005330493119972
,DSL,14.30346237249011,14.022838726851262,13,"12.3 - 15.7",0.8661978712407767,3.1231208394563748,0.9908772818040928,13,"89% - 109%",0.05208312678659198,0.18778838421554936
,Fiber,270.4249016698616,268.9677369524389,50,"211.9 - 326.1",29.13542734763928,206.0185825028372,1.0025546390790128,50,"99% - 102%",0.007375430871264439,0.052152171832436915
,Satellite,--,--,--,--,--,--,--,--,--,--,--
CO,Cable,174.95154678635782,197.44661966344898,10,"156.9 - 238",20.701943649614176,65.46529392523956,1.1346303022769662,10,"111% - 116%",0.012146482070717564,0.03841054890186591
,DSL,29.738863166536795,27.52644197937331,54,"18.3 - 36.8",4.707836639863873,34.59539268013614,0.9029194310323141,54,"87% - 93%",0.015583614490301366,0.1145157115484415
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
HI,Cable,200,228.87921599999999,1,,0,0,1.14439608,1,,0,0
,DSL,--,--,--,--,--,--,--,--,--,--,--
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
ID,Cable,--,--,--,--,--,--,--,--,--,--,--
,DSL,30.631789469390668,29.53335166547707,19,"13.4 - 45.7",8.230337501705698,35.87520944116816,0.9870935013938522,19,"92% - 106%",0.03515972814160461,0.15325770185161763
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
MT,Cable,--,--,--,--,--,--,--,--,--,--,--
,DSL,9.032672404522092,8.016272493125859,6,"0.6 - 15.4",3.78505839933968,9.27146172501786,0.8547259486854935,6,"72% - 99%",0.06658683123519138,0.1631037601150358
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
NM,Cable,138.36013147289808,162.05494607684395,4,"38.9 - 285.2",62.81195176602501,125.62390353205002,1.1642773797763806,4,"113% - 120%",0.016660021835592616,0.03332004367118523
,DSL,24.786967012119007,24.490695016443386,32,"16 - 33",4.3162536702969785,24.416417916706546,1.0030348600322585,32,"94% - 106%",0.03132663742347604,0.1772102220312975
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
NV,Cable,134.31457822063405,140.27606415666577,11,"83.7 - 196.9",28.867833999069795,95.74377388517934,1.1107810304287524,11,"104% - 119%",0.03845044016031927,0.12752568303579173
,DSL,26.299603647553422,26.336305942242515,13,"9.2 - 43.5",8.74984461347415,31.548013406223433,1.02195311266982,13,"95% - 109%",0.03437250448572833,0.12393182738940947
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
OR,Cable,109.18372656130596,122.6314570431899,10,"79.4 - 165.9",22.06921177647822,69.78897537828199,1.1161485881153574,10,"108% - 115%",0.016306075710016164,0.05156433894279836
,DSL,24.7074507335541,24.336681307715175,31,"12.9 - 35.8",5.841263626209457,32.52277945190428,0.9428738015572035,31,"87% - 102%",0.03833658648392313,0.2134490800177383
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
UT,Cable,108.43427787795407,125.7062449016884,5,"81.7 - 169.7",22.43461349179984,50.16532081659837,1.1588661438551828,5,"114% - 117%",0.007335423790418676,0.01640250623914533
,DSL,42.04529134730551,41.972272710203235,9,"20.2 - 63.7",11.099228595960433,33.2976857878813,1.0035232975537753,9,"97% - 104%",0.018576553683278884,0.055729661049836655
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
WA,Cable,145.91451664930523,163.69965238843167,16,"117 - 210.4",23.82647701856156,95.30590807424625,1.1097784425812,16,"107% - 115%",0.018401155292309273,0.07360462116923709
,DSL,18.4581221056742,18.17510845729853,49,"9.5 - 26.9",4.434460120531984,31.041220843723888,0.9545590873544606,49,"91% - 100%",0.024181096980512216,0.1692676788635855
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
WY,Cable,--,--,--,--,--,--,--,--,--,--,--
,DSL,6.730844808597573,5.580659657545193,5,"1.9 - 9.3",1.873199758555182,4.18860199556558,0.8380469451556277,5,"68% - 99%",0.07977297773441692,0.17837780098173342
,Fiber,--,--,--,--,--,--,--,--,--,--,--
,Satellite,--,--,--,--,--,--,--,--,--,--,--
