NAICS_CODE,TOP_CATEGORY,SUB_CATEGORY,TOTAL_POIS,ALL_POIS,OPENED_ON_PERCENT,CLOSED_ON_PERCENT,PHONE_FILL_RATE,OPEN_FILL_RATE
221114,"Electric Power Generation, Transmission and Distribution",Solar Electric Power Generation,2061,7952451,0.000000,0.000000,0.003882,0.001941
484230,Specialized Freight Trucking,"Specialized Freight (except Used Goods) Trucking, Long-Distance",2050,7952451,0.000000,0.102439,0.866829,0.229756
485210,Interurban and Rural Bus Transportation,Interurban and Rural Bus Transportation,2043,7952451,0.538913,0.160059,0.234459,0.975037
237110,Utility System Construction,Water and Sewer Line and Related Structures Construction,2015,7952451,0.000000,0.037717,0.821836,0.155831
487110,"Scenic and Sightseeing Transportation, Land","Scenic and Sightseeing Transportation, Land",1944,7952451,0.000000,0.039609,0.831790,0.399691
524113,Insurance Carriers,Direct Life Insurance Carriers,1841,7952451,0.121130,0.089082,0.575774,0.040739
517919,Other Telecommunications,All Other Telecommunications,1840,7952451,0.000000,0.000000,0.000543,0.000000
561320,Employment Services,Temporary Help Services,1800,7952451,0.000000,0.000556,0.225000,0.705556
561730,Services to Buildings and Dwellings,Landscaping Services,1784,7952451,0.002242,0.001121,0.952354,0.215247
621910,Other Ambulatory Health Care Services,Ambulance Services,1739,7952451,0.000000,0.079931,0.825762,0.200115
512240,Sound Recording Industries,Sound Recording Studios,1692,7952451,0.000000,0.044326,0.878251,0.242317
423810,"Machinery, Equipment, and Supplies Merchant Wholesalers",Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,1691,7952451,0.172679,0.134831,0.714962,0.740390
445291,Specialty Food Stores,Baked Goods Stores,1659,7952451,0.045208,0.048825,0.660639,0.879445
518210,"Data Processing, Hosting, and Related Services","Data Processing, Hosting, and Related Services",1656,7952451,0.000000,0.000000,0.016908,0.004831
424910,Miscellaneous Nondurable Goods Merchant Wholesalers,Farm Supplies Merchant Wholesalers,1631,7952451,0.083998,0.034948,0.870632,0.296137
485999,Other Transit and Ground Passenger Transportation,All Other Transit and Ground Passenger Transportation,1583,7952451,0.000000,0.066961,0.728364,0.239419
454310,Direct Selling Establishments,Fuel Dealers,1506,7952451,0.067065,0.017264,0.503984,0.233732
621991,Other Ambulatory Health Care Services,Blood and Organ Banks,1473,7952451,0.176511,0.090292,0.873727,0.754243
111421,"Greenhouse, Nursery, and Floriculture Production",Nursery and Tree Production,1388,7952451,0.000000,0.095821,0.799712,0.335014
611511,Technical and Trade Schools,Cosmetology and Barber Schools,1380,7952451,0.001449,0.060870,0.722464,0.419565
312140,Beverage Manufacturing,Distilleries,1369,7952451,0.000000,0.130752,0.831994,0.540541
721120,Traveler Accommodation,Casino Hotels,1338,7952451,0.008221,0.081465,0.473842,0.300448
541310,"Architectural, Engineering, and Related Services",Architectural Services,1331,7952451,0.000000,0.017280,0.924869,0.223140
423720,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,1330,7952451,0.136842,0.167669,0.813534,0.990226
424690,Chemical and Allied Products Merchant Wholesalers,Other Chemical and Allied Products Merchant Wholesalers,1301,7952451,0.042275,0.032283,0.931591,0.962337
561720,Services to Buildings and Dwellings,Janitorial Services,1286,7952451,0.024106,0.041991,0.853033,0.611198
