"MSA Code",,
"MSA Code",State,"MSA Name"
3660,Virginia,"JOHNSON CITY-KINGSPORT-BRISTOL (TN-VA)                                                                                                                "
4640,Virginia,"LYNCHBURG                                                                                                                                             "
5720,Virginia,"NORFOLK-VIRGINIA BEACH-NEWPORT NEWS (VA-NC)                                                                                                           "
6760,Virginia,"RICHMOND-PETERSBURG                                                                                                                                   "
6800,Virginia,"ROANOKE                                                                                                                                               "
8840,Virginia,"WASHINGTON (DC-MD-VA-WV)                                                                                                                              "
0860,Washington,"BELLINGHAM                                                                                                                                            "
1150,Washington,"BREMERTON                                                                                                                                             "
5910,Washington,"OLYMPIA                                                                                                                                               "
6440,Washington,"PORTLAND-VANCOUVER (OR-WA)                                                                                                                            "
6740,Washington,"RICHLAND-KENNEWICK-PASCO                                                                                                                              "
7600,Washington,"SEATTLE-BELLEVUE-EVERETT                                                                                                                              "
7840,Washington,"SPOKANE                                                                                                                                               "
8200,Washington,"TACOMA                                                                                                                                                "
9260,Washington,"YAKIMA                                                                                                                                                "
1480,"West Virginia","CHARLESTON                                                                                                                                            "
1900,"West Virginia","CUMBERLAND (MD-WV)                                                                                                                                    "
3400,"West Virginia","HUNTINGTON-ASHLAND (WV-KY-OH)                                                                                                                         "
6020,"West Virginia","PARKERSBURG-MARIETTA (WV-OH)                                                                                                                          "
8080,"West Virginia","STEUBENVILLE-WEIRTON (OH-WV)                                                                                                                          "
8840,"West Virginia","WASHINGTON (DC-MD-VA-WV)                                                                                                                              "
9000,"West Virginia","WHEELING (WV-OH)                                                                                                                                      "
0460,Wisconsin,"APPLETON-OSHKOSH-NEENAH                                                                                                                               "
2240,Wisconsin,"DULUTH-SUPERIOR (MN-WI)                                                                                                                               "
2290,Wisconsin,"EAU CLAIRE                                                                                                                                            "
3080,Wisconsin,"GREEN BAY                                                                                                                                             "
3620,Wisconsin,"JANESVILLE-BELOIT                                                                                                                                     "
3800,Wisconsin,"KENOSHA                                                                                                                                               "
3870,Wisconsin,"LA CROSSE (WI-MN)                                                                                                                                     "
4720,Wisconsin,"MADISON                                                                                                                                               "
5080,Wisconsin,"MILWAUKEE-WAUKESHA                                                                                                                                    "
5120,Wisconsin,"MINNEAPOLIS-ST. PAUL (MN-WI)                                                                                                                          "
6600,Wisconsin,"RACINE                                                                                                                                                "
7620,Wisconsin,"SHEBOYGAN                                                                                                                                             "
8940,Wisconsin,"WAUSAU                                                                                                                                                "
1350,Wyoming,"CASPER                                                                                                                                                "
1580,Wyoming,"CHEYENNE                                                                                                                                              "
