   ,CATEGORY,STATENAME,COUNT,
377,HEALTH CARE SERVICES,LOUISIANA,"25,934",
378,HEALTH CARE SERVICES,MAINE,"8,794",
379,HEALTH CARE SERVICES,MARYLAND,"34,231",
380,HEALTH CARE SERVICES,MASSACHUSETTS,"36,243",
381,HEALTH CARE SERVICES,MICHIGAN,"53,399",
382,HEALTH CARE SERVICES,MINNESOTA,"29,673",
383,HEALTH CARE SERVICES,MISSISSIPPI,"16,528",
384,HEALTH CARE SERVICES,MISSOURI,"33,335",
385,HEALTH CARE SERVICES,MONTANA,"8,992",
386,HEALTH CARE SERVICES,NEBRASKA,"12,508",
387,HEALTH CARE SERVICES,NEVADA,"12,612",
388,HEALTH CARE SERVICES,NEW HAMPSHIRE,"7,181",
389,HEALTH CARE SERVICES,NEW JERSEY,"57,206",
390,HEALTH CARE SERVICES,NEW MEXICO,"9,302",
391,HEALTH CARE SERVICES,NEW YORK,"112,265",
392,HEALTH CARE SERVICES,NORTH CAROLINA,"46,043",
393,HEALTH CARE SERVICES,NORTH DAKOTA,"4,716",
394,HEALTH CARE SERVICES,OHIO,"61,875",
395,HEALTH CARE SERVICES,OKLAHOMA,"20,171",
396,HEALTH CARE SERVICES,OREGON,"21,021",
397,HEALTH CARE SERVICES,PENNSYLVANIA,"101,871",
398,HEALTH CARE SERVICES,RHODE ISLAND,"6,139",
399,HEALTH CARE SERVICES,SOUTH CAROLINA,"23,543",
400,HEALTH CARE SERVICES,SOUTH DAKOTA,"7,094",
401,HEALTH CARE SERVICES,TENNESSEE,"35,713",
402,HEALTH CARE SERVICES,TEXAS,"118,809",
403,HEALTH CARE SERVICES,UTAH,"12,365",
404,HEALTH CARE SERVICES,VERMONT,"4,144",
405,HEALTH CARE SERVICES,VIRGINIA,"41,690",
406,HEALTH CARE SERVICES,WASHINGTON,"37,604",
407,HEALTH CARE SERVICES,WEST VIRGINIA,"10,713",
408,HEALTH CARE SERVICES,WISCONSIN,"32,959",
409,HEALTH CARE SERVICES,WYOMING,"3,944",
410,HOSPITALITY,ALABAMA,"1,826",
411,HOSPITALITY,ALASKA,720,
412,HOSPITALITY,ARIZONA,"2,574",
413,HOSPITALITY,ARKANSAS,"1,531",
414,HOSPITALITY,CALIFORNIA,"11,774",
415,HOSPITALITY,COLORADO,"3,193",
416,HOSPITALITY,CONNECTICUT,"1,087",
417,HOSPITALITY,DELAWARE,368,
418,HOSPITALITY,DISTRICT OF COLUMBIA,694,
419,HOSPITALITY,FLORIDA,"15,940",
420,HOSPITALITY,GEORGIA,"4,360",
421,HOSPITALITY,HAWAII,"1,181",
422,HOSPITALITY,IDAHO,847,
423,HOSPITALITY,ILLINOIS,"5,662",
424,HOSPITALITY,INDIANA,"2,351",
425,HOSPITALITY,IOWA,"1,704",
426,HOSPITALITY,KANSAS,"1,533",
427,HOSPITALITY,KENTUCKY,"1,649",
428,HOSPITALITY,LOUISIANA,"1,963",
429,HOSPITALITY,MAINE,"1,288",
430,HOSPITALITY,MARYLAND,"2,290",
431,HOSPITALITY,MASSACHUSETTS,"3,427",
432,HOSPITALITY,MICHIGAN,"4,421",
433,HOSPITALITY,MINNESOTA,"3,735",
434,HOSPITALITY,MISSISSIPPI,"1,324",
435,HOSPITALITY,MISSOURI,"3,179",
436,HOSPITALITY,MONTANA,"1,198",
437,HOSPITALITY,NEBRASKA,930,
438,HOSPITALITY,NEVADA,"1,157",
439,HOSPITALITY,NEW HAMPSHIRE,846,
440,HOSPITALITY,NEW JERSEY,"3,697",
441,HOSPITALITY,NEW MEXICO,"1,313",
442,HOSPITALITY,NEW YORK,"7,351",
443,HOSPITALITY,NORTH CAROLINA,"4,213",
444,HOSPITALITY,NORTH DAKOTA,720,
445,HOSPITALITY,OHIO,"3,603",
446,HOSPITALITY,OKLAHOMA,"1,767",
447,HOSPITALITY,OREGON,"2,559",
448,HOSPITALITY,PENNSYLVANIA,"4,883",
449,HOSPITALITY,RHODE ISLAND,430,
450,HOSPITALITY,SOUTH CAROLINA,"2,370",
451,HOSPITALITY,SOUTH DAKOTA,"1,063",
452,HOSPITALITY,TENNESSEE,"3,497",
453,HOSPITALITY,TEXAS,"11,320",
454,HOSPITALITY,UTAH,"1,199",
455,HOSPITALITY,VERMONT,601,
456,HOSPITALITY,VIRGINIA,"3,972",
457,HOSPITALITY,WASHINGTON,"3,885",
458,HOSPITALITY,WEST VIRGINIA,593,
459,HOSPITALITY,WISCONSIN,"3,887",
460,HOSPITALITY,WYOMING,795,
461,ORGANIZATIONS - ASSOCIATIONS,ALABAMA,"8,224",
462,ORGANIZATIONS - ASSOCIATIONS,ALASKA,"1,049",
463,ORGANIZATIONS - ASSOCIATIONS,ARIZONA,"5,377",
464,ORGANIZATIONS - ASSOCIATIONS,ARKANSAS,"5,103",
465,ORGANIZATIONS - ASSOCIATIONS,CALIFORNIA,"33,626",
